Points 97
1	96.0617		72.2518		4.00
2	98.4748		71.0779		2.50
3	100.8878	69.9039		0.00
4	102.4973	69.1229		0.00
5	104.7454	68.0292		2.50
6	107.4431	66.7168		4.00
7	142.2728	66.7168		4.00
8	144.9705	68.0292		2.50
9	147.2186	69.1229		0.00
10	148.8580	69.8441		0.00
11	151.2411	71.0779		2.50
12	153.6542	72.2518		4.00
13	124.8580	101.5466	4.50
14	124.8580	108.2544	3.00
15	124.8580	113.8442	0.50
16	117.8580	115.8442	4.51
17	120.8580	115.8442	3.01
18	123.8580	115.8442	0.51
19	125.8580	115.8442	0.51
20	128.8580	115.8442	3.01
21	131.8580	115.8442	4.51
22	117.8580	165.8442	5.01
23	120.8580	165.8442	3.51
24	123.3580	165.8442	1.01
25	126.3580	165.8442	1.01
26	128.8580	165.8442	3.51
27	131.8580	165.8442	5.01
28	125.3180	173.5169	1.09
29	126.3580	175.2972	1.11
30	125.3180	176.5169	1.12
31	123.3580	175.2972	1.11
32	125.7747	175.2972	1.11
33	125.3180	175.2972	1.11
34	124.8613	175.2972	1.11
35	124.4711	182.4034	1.18
36	126.3580	183.6231	1.19
37	124.4711	185.4034	1.21
38	123.3580	183.6231	1.19
39	124.9278	183.6231	1.19
40	124.4711	183.6231	1.19
41	124.0144	183.6231	1.19
42	117.8580	195.8442	5.31
43	120.8580	195.8442	3.81
44	123.3580	195.8442	1.31
45	126.3580	195.8442	1.31
46	128.8580	195.8442	3.81
47	131.8580	195.8442	5.31
48	123.5579	196.0442	0.31
49	126.1580	196.0442	0.31
50	123.5580	201.6442	0.31
51	126.1580	201.6442	0.31
52	117.8580	201.8442	5.31
53	120.8580	201.8442	3.81
54	123.3580	201.8442	1.31
55	126.3580	201.8442	1.31
56	128.8580	201.8442	3.81
57	131.8580	201.8442	5.31
58	117.8580	202.0442	7.31
59	120.8580	202.0442	5.81
60	123.3580	202.0442	3.31
61	126.3580	202.0442	3.31
62	128.8580	202.0442	5.81
63	131.8580	202.0442	7.31
64	117.8580	202.3442	7.31
65	120.8580	202.3442	5.81
66	123.3580	202.3442	3.31
67	126.3580	202.3442	3.31
68	128.8580	202.3442	5.81
69	131.8580	202.3442	7.31
70	123.5580	202.5442	2.81
71	126.1580	202.5442	2.81
72	123.5580	205.1442	2.81
73	126.1580	205.1442	2.81
74	117.8580	205.3442	7.31
75	120.8580	205.3442	5.81
76	123.3580	205.3442	3.31
77	126.3580	205.3442	3.31
78	128.8580	205.3442	5.81
79	131.8580	205.3442	7.31
80	117.8580	255.3442	7.81
81	120.8580	255.3442	6.31
82	123.3580	255.3442	3.81
83	126.3580	255.3442	3.81
84	128.8580	255.3442	6.31
85	131.8580	255.3442	7.81
86	125.8283	274.7102	8.00
87	128.4221	273.7233	6.50
88	130.5836	272.9008	4.00
89	133.1774	271.9138	4.00
90	135.3389	271.0913	6.50
91	137.9327	270.1043	8.00
92	140.2340	286.2988	8.16
93	142.0936	284.7212	6.66
94	143.6433	283.4065	4.16
95	145.5029	281.8290	4.16
96	147.0526	280.5143	6.66
97	148.9122	278.9367	8.16

Elements 93
1	1	2	17	16
2	2	3	18	17
3	3	4	15	18
4	4	5	14	15
5	5	6	13	14
6	7	8	14	13
7	8	9	15	14
8	9	10	19	15
9	10	11	20	19
10	11	12	21	20
11	15	19	18	
12	16	17	23	22
13	17	18	24	23
14	18	19	25	24
15	19	20	26	25
16	20	21	27	26
17	22	23	43	42
18	23	31	38	43
19	23	24	31	
20	38	44	43	
21	24	28	31	
22	24	25	28	
23	25	29	28	
24	28	34	31	
25	28	33	34	
26	28	32	33	
27	28	29	32	
28	29	30	32	
29	32	30	33	
30	34	33	30	
31	31	34	30	
32	29	36	30	
33	30	36	35	
34	31	30	35	
35	31	35	38	
36	35	36	39	
37	35	39	40	
38	35	40	41	
39	35	41	38	
40	36	37	39	
41	37	40	39	
42	37	41	40	
43	37	38	41	
44	36	45	37	
45	37	45	44	
46	37	44	38	
47	25	26	29	
48	26	46	36	29
49	36	46	45	
50	26	27	47	46
51	42	43	53	52
52	43	44	54	53
53	48	49	50	51
54	44	45	49	48
55	45	55	51	49
56	51	55	54	50
57	44	48	50	54
58	45	46	56	55
59	46	47	57	56
60	52	53	59	58
61	53	54	60	59
62	55	61	60	54
63	56	62	61	55
64	56	57	63	62
65	58	59	65	64
66	59	60	66	65
67	60	61	67	66
68	61	62	68	67
69	62	63	69	68
70	64	65	75	74
71	65	66	76	75
72	70	71	72	73
73	66	67	71	70
74	67	77	73	71
75	72	73	77	76
76	70	72	76	66
77	67	68	78	77
78	68	69	79	78
79	74	75	81	80
80	75	76	82	81
81	76	77	83	82
82	77	78	84	83
83	78	79	85	84
84	80	81	87	86
85	81	82	88	87
86	82	83	89	88
87	83	84	90	89
88	84	85	91	90
89	86	87	93	92
90	87	88	94	93
91	88	89	95	94
92	89	90	96	95
93	90	91	97	96
